StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,X1.prior_1,X1.prior_2,X1.post_1,X1.post_2,X1.lk_1_1,X1.lk_2_1,c1.intel,c1.acc,c1.fair,c1.just,c1.free,X2.prior_1,X2.prior_2,X2.post_1,X2.post_2,X2.lk_1_1,X2.lk_2_1,c2.intel,c2.acc,c2.fair,c2.just,c2.free,age,gender,gender_4_TEXT,Q50,fback,mTurk
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. 
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100% (don't worry about doing the math, once you enter your first value, the second slider will only allow you to enter enough so that they both add up to 100). - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. 
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100% (don't worry about doing the math, once you enter your first value, the second slider will only allow you to enter enough so that they both add up to 100). - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. The man recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. The man recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 

In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 
In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?",How intelligent do you think person X's statement was?,How accurate do you think person X's statement was?,How fair do you think person X's statement was?,How just do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: ""Even if the man had not performed surgery, the man would still be MORE likely to be pilot than the woman.""What impression do you have of Person X and/or the statement this person made?",d - What is the percentage chance that the man is the pilot and the woman is the flight attendant?,d - What is the percentage chance that the woman is the pilot and the man is the flight attendant?,"As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess:
The woman recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100% - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess:
The woman recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100% - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 
In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 

In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?",How intelligent do you think person X's statement was?,How accurate do you think person X's statement was?,How fair do you think person X's statement was?,How just do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: Even though the woman communicated with air traffic control, the man is MORE likely to be a pilot than the woman.” What impression do you have of Person X and/or the statement this person made?",What is your age,What is your gender? - Selected Choice,What is your gender? - Other (please indicate) - Text,What is your highest level of education?,Please leave any feedback or constructive comments about the study in the space below (if any),mTurk
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID42""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID37""}","{""ImportId"":""QID36""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""mTurk""}"
2020-10-31 12:15:02,2020-10-31 12:23:55,1,100,532,1,2020-10-31 12:23:55,R_1jqfKWPMvWnGRZu,preview,EN,,,,,,,,,,,,77,23,22,78,77,9,3,2,2,3,seems ignorant - preview,99,3,,18,"this was a preview ",813689226
2020-10-31 12:24:25,2020-10-31 12:25:36,1,100,70,1,2020-10-31 12:25:37,R_241zmGUK9EgHSFC,preview,EN,79,21,88,12,88,13,2,3,2,3,dumb,,,,,,,,,,,,44,1,,18,preeeview,311877852
2020-10-31 14:14:08,2020-10-31 15:43:48,0,100,5380,1,2020-10-31 15:43:49,R_rj48ZB27OakGan7,anonymous,EN,,,,,,,,,,,,77,23,7,93,85,3,2,2,4,1,"I think they could be saying it cynically (I'm not sure about pilots but I know some jobs are much harder to get as women), in which case I would have to agree, but I think they could also be saying it in a misogynistic way (like women can't be pilots), which makes me think they are an asshole. ",20,2,,20,A bit confused about the difference between fair and just,884162826
2020-10-31 17:00:13,2020-10-31 17:09:52,0,100,579,1,2020-10-31 17:09:52,R_3lOmhYRBMWGSSPf,anonymous,EN,,,,,,,,,,,,75,25,25,75,91,100,4,3,2,2,"I think that this person is used to hearing information from friends rather than reading the facts and figures. Or maybe person x already knows the ratio of women to men in the field of civil aviation, and is making a good guess from what they already know.  ",20,2,,20,,262426320
2020-11-01 04:10:32,2020-11-01 04:19:08,0,100,516,1,2020-11-01 04:19:09,R_OPPnMChBxW9cI4p,anonymous,EN,90,10,90,10,30,30,7,6,7,7,"He is aware that there are more Male pilots than female pilots in the Bavarian industry. So to me it seemed it was a statement of fact rather than one induced by prejudice towards the female gender ",,,,,,,,,,,,25,1,,22,N/A,162273223
